ax,ay,az,gx,gy,gz
0.765503,0.079956,0.842285,37.109375,37.109375,37.109375
0.833862,-0.095337,0.816895,10.253906,10.253906,10.253906
0.849609,-0.157104,0.913574,-15.197754,-15.197754,-15.197754
0.748657,0.257568,1.08728,-3.051758,-3.051758,-3.051758
0.594482,0.31604,1.127686,-15.380859,-15.380859,-15.380859
0.48999,0.164062,1.036865,33.325195,33.325195,33.325195
0.306885,0.15625,1.037842,37.963867,37.963867,37.963867
0.403809,0.051514,0.929688,62.011719,62.011719,62.011719
0.359253,-0.107544,0.662109,26.000977,26.000977,26.000977
0.427246,-0.196411,0.882324,10.009766,10.009766,10.009766
0.422607,-0.216919,0.86853,-3.967285,-3.967285,-3.967285
0.455566,-0.081909,1.009888,-3.845215,-3.845215,-3.845215
0.365723,0.151611,1.145264,-11.962891,-11.962891,-11.962891
0.255981,0.082764,1.122192,-7.324219,-7.324219,-7.324219
0.21521,0.164673,1.127319,21.179199,21.179199,21.179199
0.206177,-0.005615,1.070923,41.809082,41.809082,41.809082
0.222168,-0.143311,0.88147,52.978516,52.978516,52.978516
0.220825,-0.255493,0.683472,40.283203,40.283203,40.283203
0.264893,-0.380127,0.866455,1.342773,1.342773,1.342773
0.354858,-0.592651,0.890747,-3.112793,-3.112793,-3.112793
0.283081,-0.420776,0.99939,-3.479004,-3.479004,-3.479004
0.254883,-0.155273,1.032593,-4.821777,-4.821777,-4.821777
0.1427,0.062622,1.084961,-6.713867,-6.713867,-6.713867
0.131714,-0.042725,1.0896,26.123047,26.123047,26.123047
0.124268,-0.25647,0.934326,50.720215,50.720215,50.720215
0.059692,-0.587524,0.536621,23.864746,23.864746,23.864746
0.083374,-0.262451,0.834351,10.131836,10.131836,10.131836
0.122803,-0.552856,1.01355,25.20752,25.20752,25.20752
0.188843,-0.540527,1.061646,-30.517578,-30.517578,-30.517578
0.115845,-0.133301,0.98645,-9.460449,-9.460449,-9.460449
0.047729,-0.172729,1.031372,-7.995605,-7.995605,-7.995605
0.041138,-0.215942,1.015137,-0.976562,-0.976562,-0.976562
0.047729,-0.304077,0.977539,13.671875,13.671875,13.671875
-0.053711,-0.255371,0.880859,18.676758,18.676758,18.676758
